region,best_layer,best_accuracy
V1,conv5,0.1110828747999808
V2,conv5,0.1254489097779909
V3,conv5,0.1184855235774827
V4,fc7,0.1178450294228916
LOC,fc7,0.1297249443872437
EBA,fc7,0.1317968738022971
FFA,fc7,0.1298353475217517
STS,fc8,0.063669430668099
PPA,fc7,0.1153343320889975
