unit_index,importance
893,0.002493393868157668
841,0.0023019222759569392
847,0.002162907452516846
844,0.001986079496539855
695,0.0019819651461967084
902,0.0019188419355611191
641,0.0019178264313376037
502,0.0019063637257569091
475,0.0019025512233039699
162,0.0018670956703296256
449,0.001847568067126856
471,0.0018398059497488624
421,0.0018060521571385043
777,0.0017942125085380763
181,0.0017229618135325192
646,0.0017059053978794605
417,0.0017007665333251393
258,0.0016988976540278811
24,0.0016713139490544958
691,0.0016660729771860543
697,0.0016572132952442468
423,0.0016451971190266982
990,0.0016336089490182493
155,0.0016257289372278922
157,0.0016202163565514293
592,0.001613918276150066
359,0.0016016753091235541
599,0.00158742143398665
204,0.0015866988332051749
991,0.0015797853010698108
355,0.0015777717109330027
759,0.0015616255365357317
815,0.0015497272237156839
187,0.0015491310919019475
819,0.0015418897135638533
669,0.0015362165643388907
642,0.0015331985151770598
267,0.001532505469869128
783,0.001531467522124011
484,0.0015291713773448931
338,0.0015158740507424072
544,0.0015094165602922332
424,0.0015080512945521009
653,0.0015069719676349756
186,0.0014904745413983035
190,0.0014856536796184119
903,0.001482212889689886
946,0.0014793183863573522
735,0.0014792896814587668
44,0.001478832640163236
457,0.0014749737325201687
364,0.0014710676763303415
700,0.0014626308394469973
88,0.0014624926167377452
563,0.001460415657112508
26,0.0014595065366123886
293,0.0014588803988345692
199,0.001456879635795341
757,0.0014547792877672781
506,0.0014512215983946018
552,0.0014509902658819515
542,0.0014472597042275433
427,0.001445892765093651
610,0.001433489198293044
397,0.0014196521307893708
763,0.0014173355305806964
307,0.0014168038057586784
67,0.0014160663079298232
662,0.0014002585007893043
573,0.0013971925718492253
436,0.001389703605169848
55,0.0013859134194765784
658,0.0013748306010636804
871,0.0013737726479697617
54,0.0013707700134939621
89,0.0013704687269854544
511,0.0013652548225270638
376,0.001359598959207888
712,0.001356392542482757
69,0.0013448918825299902
224,0.001338871704136619
774,0.001336346752489422
835,0.001336004948563179
284,0.0013344874230823251
63,0.0013158818066408239
122,0.0013141061598523443
605,0.00131348966215795
125,0.0013115213887451873
944,0.0013078328834065446
153,0.0013047735461783412
519,0.0013039757153660825
977,0.0012960722504144534
486,0.0012948440731007423
889,0.0012936261883136442
373,0.0012926052462873172
808,0.0012882218842953862
699,0.0012881239335115475
943,0.0012878646253924081
412,0.0012874731250212526
459,0.0012866253056837836
791,0.0012821621339057466
930,0.0012796464030904009
758,0.001270891774395039
567,0.0012677580653727525
730,0.0012669732873351884
565,0.0012626724136877532
739,0.0012562282303428406
966,0.0012555428380205938
93,0.0012508568978046846
740,0.0012483677698367892
778,0.001245069075471046
732,0.0012441830653806226
548,0.001242203004882347
98,0.001235882284807502
793,0.0012338513758284693
772,0.0012338226329472771
609,0.0012321616012729096
124,0.0012279668819643501
59,0.0012230854784205584
570,0.001222575237449312
130,0.0012157845263233164
77,0.001210939454953482
974,0.0012028672437365323
328,0.0011987486285717933
832,0.0011974896712509534
733,0.001195235283075574
441,0.0011950884478022237
979,0.0011929802666538045
437,0.0011907765122101397
446,0.0011900644190855425
850,0.001185632874362419
418,0.001180410841068939
823,0.001180344498330794
3,0.0011802521667948272
31,0.001179429199146077
320,0.0011793787321647997
616,0.0011783645750346496
254,0.0011763317995026877
708,0.001176048922637953
986,0.0011720293660919384
776,0.0011706136860431234
479,0.0011678337850400105
335,0.0011673266909476249
812,0.001165705030037214
536,0.0011653040633878573
154,0.0011635838570579326
956,0.0011628634312749373
683,0.0011619401669592207
196,0.001161773403901167
597,0.0011438677568237866
667,0.001143301701354442
18,0.0011416396654585585
591,0.0011388686081609733
639,0.0011368551746968783
211,0.001136294388742235
415,0.0011312889002311945
929,0.001130373262010791
201,0.001127936702018215
898,0.0011277135888034969
512,0.0011258597987464742
452,0.0011252697169698317
869,0.0011205269571972632
596,0.0011182514234986149
442,0.0011181802899553703
723,0.001116126114749053
14,0.0011130306761140997
961,0.0011098370605599158
770,0.0011086719928155929
166,0.0011047849952761505
200,0.0011042785547761248
668,0.0011003652550575502
64,0.0010964169921462022
630,0.0010903854388669351
448,0.0010877691797795653
291,0.0010844169713326416
191,0.0010811107691842893
680,0.0010805946326874582
887,0.0010787119935566592
533,0.0010736175711799675
414,0.0010712733478836737
714,0.001070021590902664
458,0.0010699452547986502
121,0.001069879969874925
223,0.0010660451601511266
693,0.0010653738819561877
483,0.0010615073217781004
82,0.0010568976430595806
469,0.0010537608801257066
852,0.0010487582653555057
119,0.00104821157742012
574,0.0010475735686129293
921,0.0010443122597073062
738,0.0010433672262335405
717,0.0010400276550515304
377,0.0010360053585262905
625,0.0010352858180322666
83,0.0010341647043772835
551,0.0010341083024703703
748,0.0010334891175205257
598,0.0010311913043910298
628,0.0010302656578850084
380,0.0010284295079746476
686,0.0010248756938710784
399,0.0010237565528909889
907,0.0010219813575401845
488,0.0010217824725140155
194,0.0010216801988029971
510,0.0010193769827121133
734,0.0010154312345938372
66,0.0010150830031115236
586,0.0010145437123150487
530,0.00101202301641319
987,0.001008487282700528
247,0.0010060425824495562
236,0.0010056231345860703
499,0.0010046965518524763
25,0.001003088252092577
818,0.0010030539703068998
105,0.0010027886262065182
685,0.0010026759318195694
19,0.0010012485613640058
820,0.001001199367425095
615,0.001000462391784323
378,0.0010003331033786955
73,0.0010001853208432125
962,0.0010001420375411146
462,0.0010000215636723037
638,0.0009970202075046631
587,0.0009925885003320683
775,0.000990905574566337
319,0.0009900631441677461
472,0.0009879598592275691
217,0.0009858463642095803
381,0.0009810709531107454
960,0.000980835151409184
752,0.0009805793803169952
627,0.0009803731382678322
346,0.0009799999674817651
497,0.000979243028302688
576,0.0009777390360833516
482,0.0009769139622704671
670,0.0009760380036322294
143,0.0009752524969490542
478,0.0009737042105774377
637,0.0009723561711946128
317,0.0009718910455684002
692,0.0009715265666786113
828,0.0009712176479944888
273,0.0009707499650124985
539,0.0009696711878437641
